NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
Drhis Akaatik;110;2;U;Prestige;Guardian - Warrior;Prestige 1 - Slide - Resilience\13\ \13\{Reaction} Any number of times per Day, when a Guardian you control dies outside of battle resolution : Give this card a +1/+1 token.\13\\13\{Open} Deal 2 damages to an other Worshipper you control : gain 1 Adoration.;7;3;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\DARK KNIGHT.jpg;1;WORSHIPPERS
Hylkris, Granite Source;113;2;U;Piety;Rockskin - Priest;Piety 2 - Fanatism\13\ \13\{Reaction} Once per Day : When this card is exhausted: Draw a Crusade card.\13\\13\{Open} Even if this card is exhausted, pay 1 Will or 0 if you have more than 10 Adorations: Stand this card.;6;2;4;4;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\SAND COLOSSUS.jpg;1;WORSHIPPERS
Karmic Inquisitor;104;2;;Piety;Rockskin - Priest - Scholar;Piety 3 - Fanatism\13\ \13\{Reaction} When this card is materialized : Draw a Crusade card.\13\\13\{Reaction} When a shield is removed from a Worshipper you control : Deal one damage to any Worshipper.;7;2;0;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\EARTH ZELOT.jpg;1;WORSHIPPERS
Magma Giant;111;2;;Protect;Rockskin - Hero - Beast;Protect 1\13\ \13\{Assault} Twice per Day, remove one Shield from a Worshipper you control in the current battle : Deal one damage to a Worshipper or KKolossus part at the card location.;7;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\VOLCANIC GIANT.jpg;1;WORSHIPPERS
Marksman of the Rock;117;2;;;Guardian - Wizard - Extractor;\13\{Assault} Even if not in the current battle, pay 1 Will: Put a Rockskin Beast Worshipper token in the current battle at a location where it would be opposed. It is 1/1 with Protect 1. Remove it from the game when the battle ends.;5;2;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\sorciere terre.jpg;1;WORSHIPPERS
Mountain Warrior;118;2;;Protect;Guardian - Hero - Warrior;Protect 1 - Slide\13\ \13\{Assault}: Move an opponent Worshipper at Distance 1 so that it is opposed to this card. Deal it 1 damages or gain 2 Adorations if it moved and you are the defender.;8;1;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\archer montagne.jpg;1;WORSHIPPERS
Oskar, First Column;101;2;U;Strategy;Rockskin - Beast - FirstBorn;Strategy - Protect 2 - Fanatism\13\ \13\{Assault}: Deal 1 damage to all Worshippers with no Shield in this card's battle. If at least 3 damages has been dealt this way, gain 2 Adorations.;12;4;6;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\WHITE KNIGHT.jpg;1;WORSHIPPERS
Pierce-Granite;102;2;;Heal;Rockskin - Beast - Warrior;Heal 1\13\ \13\{Reaction} When this card is destroyed or dematerialized : Gain 2 Adorations. You may remove up to 2 damages from a non-Head KKolossus part or a Worshipper.;4;2;2;2;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\STONE GOLEM.jpg;1;WORSHIPPERS
Rishika, Stone-Head;106;2;U;Protect;Rockskin - Beast;Protect 1\13\ \13\{Reaction} : When this card is destroyed: Choose a non-Exalted Worshipper in one of your Rift and materialize it on the Ground, without paying its cost.;9;4;5;5;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\PLATED KNIGHT.jpg;1;WORSHIPPERS
Sands Enraged;105;2;;Resilience;Rockskin - Beast - Extractor;Resilience - Fanatism\13\ \13\{Reaction} When this card is materialized to the Ground : Create a Rockskin Beast Minion at the Ground. It is 1/1 with Protect 1.;6;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Monster Desert.jpg;1;WORSHIPPERS
Shadow of Gaalden;100;2;;Slide;Guardian - Wizard;Slide - Flight\13\ \13\{Reaction} After this card is assigned or moved opposed to a Worshipper with 1 or less Worship : Add 1 damage to this Worshipper.;6;1;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\KNIGHT KILLER.jpg;1;WORSHIPPERS
Shrine Pillar;;2;;Fanatism;Guardian - Beast - Sentinel;Fanatism - Survival\13\ \13\If you control two other Beast Worshippers, this card gain Resilience.\13\\13\{Reaction} When this card is destroyed : search in your Crusade deck for a Precept card, add it in your hand and shuffle your deck.;7;3;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Shrine Pillar.jpg;1;WORSHIPPERS
Soldier of the Griiluk Dunes;114;2;;Strategy;Galaik - Warrior;Strategy\13\ \13\{Reaction} After 1 or more Shield are put on a Worshipper you control : Draw a Crusade card, then discard a Crusade card.;4;2;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Soldat dune.jpg;1;WORSHIPPERS
Temple Protector;115;2;;;Guardian - Priest;\13\{Reaction} Before a Rockskin you control at this card location is the target of an ability: This card becomes the new target.;2;0;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\protectrice.jpg;1;WORSHIPPERS
Altor, High Priest;123;3;U;Piety;Human - Priest;Piety 3 - Fanatism\13\ \13\{Devotion} Dematerialize this card: Destroy a Worshipper without attachment with Attack Power less than or equal to the Attack Power of an Angel you control.;4;2;0;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Altor.jpg;1;WORSHIPPERS
Angelic Bloodpriest;134;3;;Slide;Human - Priest - Wizard;Slide\13\ \13\This card has +1/+0 for each Angel you control.\13\\13\{Assault} Exhaust this card: Deal X damages to a Worshipper opposed to this card, where X is equal to the number of Angels you control (minimum 1).;5;1;3;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\pretre sang.jpg;1;WORSHIPPERS
Bowmaster Angel;;3;;Flight;Angel - Hero;Flight - Protect 1\13\ \13\{Assault} Any number of times per Day, exhaust this card : Deal 1 damage to a Worshipper at Distance 1 or less. If this destroyed a Worshipper, stand this card.;7;2;4;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Bowmaster Angel.jpg;1;WORSHIPPERS
Celestial Devout;128;3;;Reach;Angel - Hero;Reach\13\ \13\This card has +1/+1 for each Seraph you control.\13\\13\{Reaction} When this card is destroyed or dematerialized : Choose a Seraph Worshipper in your Discard pile and put it on one of your Rift.;2;1;1;1;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\devot celeste.jpg;1;WORSHIPPERS
Disciple of the Beauty;126;3;;Shot;Human - Schemer;Shot 0\13\ \13\{Reaction} When this card performs a Shot: Gain 1 Adoration.;3;2;1;3;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\adepte beaute.jpg;1;WORSHIPPERS
Dutiful Monk;;3;;Heal;Human - Priest - Orator;Heal 1\13\ \13\{Reaction} When this card is materialized : Create a 0/1 Human Priest Minion with Piety 1 under your control on the Ground.\13\;2;1;0;1;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\dutiful monk.jpg;1;WORSHIPPERS
