NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
You Fall When They Fall;55;;;;;\13\{KKolossal}: This card remains in play. \13\\13\While this card is in play, you have the ability : "{Reaction} Each time an opponent Worshipper is destroyed : Deal 2 damages to one of his non Head KKolossus part.";6;;;;;N;78;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
KKolossal Punch;30;;;;;\13\Eternal\13\\13\You can play this card only if your KKolossus has an arm.\13\\13\{KKolossal}: Deal 3 damages to a KKolossus part at the same Height as one of your KKolossus arm.;6;;;;;H;85;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Weakness;27;;;;;\13\{KKolossal}: All opponent Worshippers have -1/-0 until the end of the Day, or -2/-0 if they are Deviant.;7;;;;;D;28;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Consuming Shout;25;;;;;\13\{KKolossal} Name a Worshipper trait: This trait cannot be used until the end of the Day.;7;;;;;Z;55;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Power of the Faith;40;;;;;\13\{KKolossal}: This card remains in play until the end of the Day. \13\\13\While this card is in play, your Worshippers with Piety X gain +X/+0 and you gain 1 Adoration per Worshippers with Piety you assign in defense opposed to an opponent Worshipper.;8;;;;;;6;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Earthquake;11;;;;;\13\{KKolossal}: Exhaust all Worshippers with Will cost equal to or less than 5.;8;;;;;D;35;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
KKolossal Vision;24;;;;;\13\{KKolossal}: Draw 1 Crusade card plus 1 card for every 5 Adorations you have (maximum 4 cards).;5;;;;;D;50;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Sacrifice of the Weak;13;;;;;\13\{KKolossal} Dematerialize a Worshipper you control or destroy one of your KKolossus leg or arm: Your KKolossus throws it on a Worshipper or non-Head KKolossus part. Deal damages equal to your Worshipper printed Endurance or KKolossus part remaining Health Points to it.;8;;;;;H;65;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Needed Sacrifice;;;;;;\13\{KKolossal}: This card remains in play. \13\\13\While this card is in play, you have the following ability "{Devotion} Destroy a Worshipper you control and discard this card : Destroy a Worshipper with equal or lower Will cost.";9;;;;;N;58;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
The Final Wave;;;;;;\13\{KKolossal}: During this day, after the Assault phase ends, stand all Worshippers in play. You can declare an additional Assault. You lose the game at the end of the Day.;10;;;;;R;0;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Worship Me !;48;;;;;\13\{KKolossal}: At the beginning of the Twilight phase, the player with the highest sum of Worship on his standing Worshippers or you, if equal, chooses whether he gains 4 Adorations or he adds the first card of his Crusade deck to his Consacreted cards pool, face up.;10;;;;;R;5;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Only War !;49;;;;;\13\{KKolossal}: During the Devotion phase of this Day, players can't take any action that is not a materializing action.;10;;;;;Z;31;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Resuscitation;20;;;;;\13\{KKolossal}: Materialize a non Exalted Worshipper from your Cemetery without paying its cost.;10;;;;;M;36;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Full Defense;45;;;;;\13\{KKolossal}: The KKolossal action of your opponent has no effect this Day.;10;;;;;Z;90;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Incontrollable Faith;19;;;;;\13\{KKolossal}: This card remains in play until the end of the Day.\13\\13\While this card is in play, each time an opponent plays a card from his hand, you gain 2 Adoration.\13\;12;;;;;R;18;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Thick Air ;50;;;;;\13\{KKolossal}: This card remains in play until the end of the Day. \13\\13\While this card is in play, all moves are negated during the Assault phase.;14;;;;;Z;30;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
On your knees !;28;;;;;\13\{KKolossal}: This card remains in play until the end of the Day. \13\\13\While this card is in play, your opponent KKolossus parts are considered to be at a Height decreased by 1.;14;;;;;R;80;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Divine Fusion;10;;;;;\13\{KKolossal}: Dematerialize up to 5 Dead Worshippers in each discard pile and heal damages on KKolossus parts up to the number of cards dematerialized this way.;15;;;;;M;8;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Enrage !;;;;;;\13\{KKolossal}: This card remains in play until the end of the Day. \13\\13\While this card is in play, your damages during battle resolution are multipled by 2.;15;;;;;H;88;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Super Mobility;;;;;;\13\{KKolossal}: This card remains in play until the end of the Day. \13\\13\While this card is in play, your Worshippers have the ability "{Assault}: Move this Worshipper to the current battle so that it is opposed.";16;;;;;M;60;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Rain of Fire;46;;;;;\13\{KKolossal}: Deal 6 damages divided as you want between one or several Worshippers.;16;;;;;H;82;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
OmniSlash;;;;;;\13\{KKolossal}: Deal 10 damages to a non Head KKolossus part.;18;;;;;H;70;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Loss of Faith;;;;;;\13\{KKolossal}: You and your opponents lose 10 Adorations (this loss can be redirected or negated).;20;;;;;Z;50;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Big Bang Attack;;;;;;\13\{KKolossal}: Chooses 6 Worshippers you control and 6 Worshippers controled by your opponents, if able. All chosen Worshippers are destroyed. Lose 15 Adorations (this loss can't be negated or redirected).;25;;;;;H;1;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Final Flash;15;;;;;\13\{KKolossal}: Destroy an opponent KKolossus Head. This action effects can't be negated.;40;;;;;R;99;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
Fire Ball;22;;;;;\13\{KKolossal}: Deal X damages to a KKolossus part (X=5 maximum) where X is equal to your Adoration divided by 2 and rounded up.;X;;;;;H;68;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
;;;;;;\13\;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune d'Eveil;6;;;;;K;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune de Canalisation;6;;;;;N;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune d'Invocation;5;;;;;M;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune du Chaos;8;;;;;H;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune Divine;6;;;;;R;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune du Vide;7;;;;;Z;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
;;;;;;\13\Rune de l'Âme;7;;;;;D;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
